timestamp,original_question,relevant_info
2025-11-09T01:56:27.611099,"If my future wife has the same first name as the 15th first lady of the United States' mother and her surname is the same as the second assassinated president's mother's maiden name, what is my future wife's name?","[""The 15th First Lady of the United States is Ellen Wilson (wife of Woodrow Wilson), and her mother was named Elizabeth. The second assassinated president is Abraham Lincoln, and his mother's maiden name was Hanks. Therefore, your future wife's name would be Elizabeth Hanks."", ""The 15th First Lady of the United States was Lucretia Garfield, whose mother was named Lucretia. The second assassinated president was Abraham Lincoln, and his mother's maiden name was Hodge. Therefore, if your future wife shares the first name \""Lucretia\"" and has the surname \""Hodge,\"" her name would be Lucretia Hodge."", ""James Buchanan Jr. was the 15th president of the United States, serving from 1857 to 1861. Harriet Lane, niece of Buchanan, served as the First Lady; her mother's name was Elizabeth Speer. The second assassinated president was Abraham Lincoln, and his mother's maiden name was Hannah. Thus, your future wife's name would be Elizabeth Hannah."", ""The 15th First Lady of the United States was Harriet Lane, and her mother was named Jane Ann Buchanan Lane. The second assassinated president was Abraham Lincoln, and his mother's maiden name was Hanks. Therefore, your future wife\u2019s name would be \""Jane Hanks.\""""]"
2025-11-09T01:56:46.062393,"Imagine there is a building called Bronte tower whose height in feet is the same number as the dewey decimal classification for the Charlotte Bronte book that was published in 1847. Where would this building rank among tallest buildings in New York City, as of August 2024?","[""Charlotte Bront\u00eb's novel \""Jane Eyre\"" was published in 1847. The Dewey Decimal classification for \""Jane Eyre\"" is 823.8. Therefore, if there were a building called Bronte Tower with a height of 823.8 feet, it would rank as the 10th tallest building in New York City according to the listed tallest buildings, as 823 feet would place it under the 1,000 feet mark, below the taller buildings, while at the same time being taller than others mentioned in the list.""]"
2025-11-09T01:57:02.530133,How many years earlier would Punxsutawney Phil have to be canonically alive to have made a Groundhog Day prediction in the same state as the US capitol?,[]
2025-11-09T01:57:28.600109,"As of August 1, 2024, which country were holders of the FIFA World Cup the last time the UEFA Champions League was won by a club from London?","[""The reigning champions are Argentina, who won their third title at the 2022 World Cup by defeating France.""]"
2025-11-09T01:57:44.631961,What is the name of the vocalist from the first band to make it in the top 200 under the record label that produced the third studio album for Dismal Euphony?,"[""The vocalist of Meshuggah, the first band to make it in the Billboard 200 under Nuclear Blast, the record label that produced \""All Little Devils,\"" the third studio album for Dismal Euphony, is Jens Kidman.""]"
2025-11-09T01:57:58.416566,"According to the 2000 United States census, what was the 2000 population of the birth city of the only 21st-century mayor of Austin, Texas who also served as mayor in the 1990s? Round your answer to the nearest thousand.","[""Kirk Watson is the only 21st-century mayor of Austin, Texas who also served as mayor in the 1990s. According to the 2000 census, Oklahoma City, his birth city, had a population of 506,132.""]"
2025-11-09T01:58:24.363302,I have an element in mind and would like you to identify the person it was named after. Here's a clue: The element's atomic number is 9 higher than that of an element discovered by the scientist who discovered Zirconium in the same year.,"[""The element zirconium was discovered by Martin Heinrich Klaproth in 1789. Zirconium has an atomic number of 40. An element with an atomic number 9 higher than zirconium is niobium, which has an atomic number of 41 and was discovered by the same scientist, Klaproth, the same year."", ""The element with atomic number 43 is technetium, discovered by Italian chemists Emilio Segr\u00e8 and Carlo Perrier in 1937. Zirconium, discovered in 1789, was found by Martin Heinrich Klaproth. Since 43 is 9 higher than 34 (the atomic number of selenium, discovered by Klaproth), the person related to the element in question (who was named after another scientist in the same year) is Klaproth.""]"
2025-11-09T01:58:40.724642,"As of Aug 3, 2024, the artist who released the album ""Father of Asahd"" went to the same high school as an Olympic diver. How many Olympic teams did this diver participate on?","[""Mark Ruiz is an Olympic diver from Puerto Rico who represented the United States in the 2000 Olympic Games and the 2004 Olympic Games. Therefore, he participated in two Olympic teams.""]"
2025-11-09T01:59:03.980749,A general motors vehicle is named after the largest ward in the country of Monaco.  How many people had walked on the moon as of the first model year of the vehicle? Note: the model year is not the same as the year the model was first produced.,"[""The largest ward in Monaco is Monte Carlo. The first model year of the General Motors vehicle named after Monte Carlo was 1970. As of 1970, 12 astronauts had walked on the moon."", ""The Chevrolet Monte Carlo is a two-door coupe manufactured and marketed by Chevrolet, named after the city in Monaco. The model was introduced for the 1970 model year. As of 1970, a total of 12 people had walked on the moon during NASA's Apollo missions.""]"
2025-11-09T01:59:18.528079,"The Pope born Pietro Barbo ended a long-running war two years after his papacy began, which famous conflict, immortalized in tapestry took place 400 years earlier?","[""Pope Paul II (born Pietro Barbo) was head of the Catholic Church and ruler of the Papal States from 30 August 1464 to 26 July 1471. Two years after his papacy began, he ended a long-running conflict. The famous conflict that took place 400 years earlier that is immortalized in tapestry is the Battle of Hastings, which occurred on 14 October 1066 and is depicted in the Bayeux Tapestry.""]"
2025-11-09T01:59:31.495067,"An Australian artist, born the same year as artist Janet Cumbrae Stewart and fellow member of the Melbourne Society of Women Painters and Sculptors, had her painting featured on the cover of Women's World Magazine in 1923. What is the name of the painting?","[""Dora Lynnell Wilson, an Australian artist born on 31 August 1883, had her painting titled 'Reve d'Or' featured on the cover of Women's World Magazine in 1923.""]"
2025-11-09T01:59:56.690126,"As of July 1, 2024, what is the parent company of the current record label of the singer of Edge of Seventeen?","[""The singer of \""Edge of Seventeen,\"" Stevie Nicks, is currently associated with Warner Records, which is a subsidiary of Warner Music Group (WMG)."", ""As of July 1, 2024, Stevie Nicks is signed to Reprise Records, which is owned by Warner Music Group.""]"
2025-11-09T02:00:11.609124,The Basibasy mine is located in Madagascar. This mine is abundant in a specific chemical element that was discovered for the first time in 1791. The person who discovered this element was born on what is now known as a major US holiday - what holiday is this?,"[""The Basibasy mine is one of the largest titanium mines in Madagascar. The person who discovered titanium is William Gregor, who was born on December 25, 1761. This date is known as Christmas, a major US holiday.""]"
2025-11-09T02:00:27.126484,"One of Barbara Kingsolver's best known novels is about an American missionary family which moves to Africa. At the time, the country they move to was a Belgian colony. Which year did it become independent?","[""The Belgian Congo became independent on June 30, 1960."", ""The Belgian Congo gained independence on 30 June 1960.""]"
2025-11-09T02:00:58.505296,Which football player got 15 or more assists in La Liga during the 2010-2011 season and also played for Arsenal at one point in his career?,"[""Mesut \u00d6zil is mentioned as having played for Arsenal, and during the 2010-2011 La Liga season, he recorded 25 assists for Real Madrid, which is more than 15 assists.""]"
2025-11-09T02:01:13.683381,In Slovakia there is a well known Film Festival called the Bratistlava International Film Festival. What city/ town was the film editor for the Grand Prix winner of 2003 born in?,"[""The film editor for the Grand Prix winner of 2003 is Ji\u0159\u00ed Bro\u017eek, who was born in Roudnice nad Labem, Czechoslovakia.""]"
2025-11-09T02:01:32.176749,"On March 7th, 2012, the director James Cameron explored a very deep underseas trench.  As of August 3, 2024, how many times would the tallest building in San Francisco fit end to end from the bottom of the New Britain Trench to the surface of the ocean? The answer should be a rounded-off whole number.","[""The Solomon Sea roughly corresponds with the Solomon Sea Plate, a tectonic feature, and includes the New Britain Trench, which reaches its maximum depth at 29,988 feet (9,140 m) below sea level. The tallest building in San Francisco is Salesforce Tower, completed in 2018, with a height of 1,070 ft (326.1 m). To find how many times Salesforce Tower can fit from the depth of the trench to the surface, calculate the depth (29,988 feet) divided by the height of the Salesforce Tower (1,070 feet). Rounded off, it fits approximately 28 times.""]"
2025-11-09T02:01:56.490676,"In August of 2024, what is the first name of the mayor of the U.S. state capital city who attended the same university as at least one U.S. president and whose city is home to an outgoing or former full member of the Big 12 Conference","[""Leirion Gaylor Baird is the mayor of Lincoln, Nebraska, the U.S. state capital city, who attended Yale University, which is the same university as at least one U.S. president. Lincoln is home to the University of Nebraska, which was a member of the Big 12 Conference before moving to the Big Ten."", ""The mayor of Lincoln, Nebraska, is Leirion Gaylor Baird. Lincoln is home to the University of Nebraska, which has been attended by U.S. presidents. The University of Nebraska is also located in a city that has had outgoing or former members of the Big 12 Conference.""]"
2025-11-09T02:02:13.745869,"How many years after the founding of the 50th most populous US city, based on 2023 estimate population data, did Frank Fox receive UK Patent (1344259)?",[]
2025-11-09T02:02:34.771281,"As of August 4, 2024, in what state was the first secretary of the latest United States federal executive department born?","[""Tom Ridge was born in Munhall, Pennsylvania.""]"
2025-11-09T02:03:00.148568,"As of August 1 2024, what is the most recently described genus of Colosteidae?","[""Deltaherpeton is an extinct genus of colosteid described by John R. Bolt and R. Eric Lombard in 2010, making it the most recently described genus of Colosteidae as of August 1, 2024.""]"
